                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91252,                 1.4177,                0.94029,                0.73146,                0.68795,                 0.7452,                 0.5592,                 0.7553,                0.95458,                0.86298,             0.00040909,             0.00040909,             0.00040909
                      2,                0.84953,                0.78229,                0.91849,                0.84583,                0.72617,                0.80202,                0.59425,                0.77684,                0.71569,                0.89893,             0.00078488,             0.00078488,             0.00078488
                      3,                0.83892,                0.73351,                0.92567,                0.76764,                0.70059,                0.77027,                 0.5604,                0.81868,                0.75666,                0.91673,              0.0011194,              0.0011194,              0.0011194
                      4,                0.82732,                0.68524,                0.91717,                0.86096,                0.77747,                0.82477,                0.61497,                0.74716,                0.69608,                 0.8848,              0.0010644,              0.0010644,              0.0010644
                      5,                0.79851,                0.64956,                0.90694,                0.80643,                0.76428,                 0.8142,                0.63021,                0.70309,                0.70613,                 0.8712,              0.0010025,              0.0010025,              0.0010025
                      6,                0.80052,                 0.6128,                0.91218,                 0.9115,                0.76006,                0.83265,                0.63417,                0.77036,                0.61632,                0.88577,             0.00094062,             0.00094062,             0.00094062
                      7,                0.77391,                0.59171,                0.91031,                0.91422,                0.80611,                0.86972,                0.68337,                0.64692,                0.50789,                0.86146,             0.00087875,             0.00087875,             0.00087875
                      8,                0.74916,                0.55592,                0.89616,                0.91081,                0.78404,                0.86508,                  0.693,                0.61752,                 0.5454,                0.85095,             0.00081688,             0.00081688,             0.00081688
                      9,                0.73337,                0.55247,                 0.8994,                0.94362,                0.82385,                0.89364,                0.70616,                0.62298,                0.45341,                0.84771,               0.000755,               0.000755,               0.000755
                     10,                0.72121,                0.51852,                0.87679,                0.92579,                0.82078,                0.89453,                 0.7173,                0.62142,                0.43494,                 0.8412,             0.00069313,             0.00069313,             0.00069313
                     11,                0.66457,                0.46817,                0.85194,                0.91963,                0.84251,                0.88369,                0.71443,                0.57685,                0.42567,                0.83682,             0.00063125,             0.00063125,             0.00063125
                     12,                0.63667,                 0.4498,                0.84656,                0.93541,                0.82524,                0.89739,                0.71685,                0.59414,                0.43484,                  0.835,             0.00056938,             0.00056938,             0.00056938
                     13,                0.60632,                0.41877,                0.82738,                 0.9349,                0.86036,                0.90652,                 0.7401,                0.59313,                0.39453,                 0.8326,              0.0005075,              0.0005075,              0.0005075
                     14,                0.58873,                0.39801,                0.84282,                0.94914,                0.88047,                0.91503,                0.74286,                0.54528,                0.36659,                0.82648,             0.00044563,             0.00044563,             0.00044563
                     15,                0.58183,                 0.3826,                0.82918,                0.96087,                0.88105,                0.92179,                 0.7578,                0.55838,                0.35909,                0.82054,             0.00038375,             0.00038375,             0.00038375
                     16,                0.57775,                 0.3677,                0.82873,                0.96029,                0.88825,                0.92682,                0.76175,                0.54242,                0.34628,                0.82063,             0.00032188,             0.00032188,             0.00032188
                     17,                0.56754,                0.35706,                0.82215,                0.95974,                0.89817,                 0.9295,                0.76763,                 0.5205,                0.33125,                  0.818,                0.00026,                0.00026,                0.00026
                     18,                0.54014,                0.34268,                0.81679,                0.97135,                0.90354,                0.93431,                0.78622,                0.49393,                0.31301,                0.81221,             0.00019813,             0.00019813,             0.00019813
                     19,                0.53512,                0.33257,                0.81506,                0.96698,                0.90547,                0.93615,                0.79443,                0.48557,                0.30263,                0.80863,             0.00013625,             0.00013625,             0.00013625
                     20,                0.51541,                0.31416,                0.81178,                0.97238,                0.90524,                 0.9334,                0.79283,                0.47726,                0.29353,                0.80722,             7.4375e-05,             7.4375e-05,             7.4375e-05
